package	version	license	classification
@biomejs/biome	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-darwin-arm64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-darwin-x64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-linux-arm64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-linux-arm64-musl	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-linux-x64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-linux-x64-musl	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-win32-arm64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@biomejs/cli-win32-x64	2.5.9	MIT OR Apache-2.0	direct-or-transitive-dev
@hono/node-server	2.1.1	MIT	transitive-runtime-candidate
@modelcontextprotocol/sdk	1.30.0	MIT	direct-runtime
@types/body-parser	1.19.6	MIT	direct-or-transitive-dev
@types/bun	1.3.14	MIT	direct-or-transitive-dev
@types/connect	3.4.38	MIT	direct-or-transitive-dev
@types/express	5.0.6	MIT	direct-or-transitive-dev
@types/express-serve-static-core	5.1.3	MIT	direct-or-transitive-dev
@types/http-errors	2.0.5	MIT	direct-or-transitive-dev
@types/node	26.2.0	MIT	direct-or-transitive-dev
@types/qs	6.15.1	MIT	direct-or-transitive-dev
@types/range-parser	1.2.7	MIT	direct-or-transitive-dev
@types/send	1.2.1	MIT	direct-or-transitive-dev
@types/serve-static	2.2.0	MIT	direct-or-transitive-dev
accepts	2.0.0	MIT	transitive-runtime-candidate
ajv	8.20.0	MIT	transitive-runtime-candidate
ajv-formats	3.0.1	MIT	transitive-runtime-candidate
body-parser	2.3.0	MIT	transitive-runtime-candidate
bun-types	1.3.14	MIT	direct-or-transitive-dev
bytes	3.1.2	MIT	transitive-runtime-candidate
call-bind-apply-helpers	1.0.2	MIT	transitive-runtime-candidate
call-bound	1.0.4	MIT	transitive-runtime-candidate
content-disposition	1.1.0	MIT	transitive-runtime-candidate
content-type	1.0.5	MIT	transitive-runtime-candidate
content-type	2.1.0	MIT	transitive-runtime-candidate
cookie	0.7.2	MIT	transitive-runtime-candidate
cookie-signature	1.2.2	MIT	transitive-runtime-candidate
cors	2.8.6	MIT	transitive-runtime-candidate
cross-spawn	7.0.6	MIT	transitive-runtime-candidate
debug	4.4.3	MIT	transitive-runtime-candidate
depd	2.0.0	MIT	transitive-runtime-candidate
dunder-proto	1.0.1	MIT	transitive-runtime-candidate
ee-first	1.1.1	MIT	transitive-runtime-candidate
encodeurl	2.0.0	MIT	transitive-runtime-candidate
es-define-property	1.0.1	MIT	transitive-runtime-candidate
